"host","name"
"DK01SV8091","TESTCOW/Execution Servers/Dev/Win2012"
"DK01SV8092","TESTCOW/Execution Servers/Dev/Win2012"
"DK01SV8093","TESTCOW/Execution Servers/Dev/Win2012"
"DK01SV8080","TESTCOW/Execution Servers/Dev/Win2012"
"DK01SV8081","TESTCOW/Execution Servers/Dev/Win2012"
"DK01SV8082","TESTCOW/Execution Servers/Dev/Win2012"
"DK01SV8083","TESTCOW/Execution Servers/Dev/Win2012"
"DK01SV8084","TESTCOW/Execution Servers/Dev/Win2012"
"DK01SV8085","TESTCOW/Execution Servers/Dev/Win2012"
"DK01SV8086","TESTCOW/Execution Servers/Dev/Win2012"
"DK01SV8087","TESTCOW/Execution Servers/Dev/Win2012"
"DK01SV8089","TESTCOW/Execution Servers/Dev/Win2016"
"DK01SV8094","TESTCOW/Execution Servers/Dev/Win2016"
"DK01SV7030","TESTCOW/File Servers"
"DK01SV7031","TESTCOW/File Servers"
"DK01SV7032","TESTCOW/File Servers"
"DK01SV7033","TESTCOW/File Servers"
"DK01SV7034","TESTCOW/File Servers"
"DK01SV7035","TESTCOW/File Servers"
"DK01SNT899","TESTCOW/File Servers"
"DK01SV7473","TESTCOW/OM Servers/2008"
"DK01SV7481","TESTCOW/OM Servers/2008"
"DK01SV7402","TESTCOW/OM Servers/2008"
"DK01SV7404","TESTCOW/OM Servers/2008"
"DK01SV7416","TESTCOW/OM Servers/2008"
"DK01SV7421","TESTCOW/OM Servers/2008"
"DK01SV7445","TESTCOW/OM Servers/2008"
"DK01SV7490","TESTCOW/OM Servers/2008"
"DK01SV7491","TESTCOW/OM Servers/2008"
"DK01SV7492","TESTCOW/OM Servers/2008"
"DK01SV7493","TESTCOW/OM Servers/2008"
"DK01SV7495","TESTCOW/OM Servers/2008"
"DK01SVT964","TESTCOW/OM Servers/2008"
"DK01SV7400","TESTCOW/OM Servers/2012"
"DK01SV7471","TESTCOW/OM Servers/2012"
"DK01SV7472","TESTCOW/OM Servers/2012"
"DK01SV7475","TESTCOW/OM Servers/2012"
"DK01SV7476","TESTCOW/OM Servers/2012"
"DK01SV7479","TESTCOW/OM Servers/2012"
"DK01SV7482","TESTCOW/OM Servers/2012"
"DK01SV7486","TESTCOW/OM Servers/2012"
"DK01SV7488","TESTCOW/OM Servers/2012"
"DK01SV7489","TESTCOW/OM Servers/2012"
"DK01SV7412","TESTCOW/OM Servers/2012"
"DK01SV7413","TESTCOW/OM Servers/2012"
"DK01SV7414","TESTCOW/OM Servers/2012"
"DK01SV7415","TESTCOW/OM Servers/2012"
"DK01SV7417","TESTCOW/OM Servers/2012"
"DK01SV7418","TESTCOW/OM Servers/2012"
"DK01SV7419","TESTCOW/OM Servers/2012"
"DK01SV7420","TESTCOW/OM Servers/2012"
"DK01SV7422","TESTCOW/OM Servers/2012"
"DK01SV7423","TESTCOW/OM Servers/2012"
"DK01SV7424","TESTCOW/OM Servers/2012"
"DK01SV7428","TESTCOW/OM Servers/2012"
"DK01SV7429","TESTCOW/OM Servers/2012"
